Species	1-99	100-336	337-547	548-704	705-897	898-1130	1131-1213	1214-1414	1415-1492	1493-1602	1603-1820	1821-1915	1916-2084	2085-2260	2261-2336	2337-2570	2571-2688	2689-2951	2952-3035	3036-3132	3133-3257	3258-3372	3373-3602	3603-3713	3714-3877	3878-4004	4005-4137	4138-4245	4246-4349	4350-4474	4475-4594	4595-4778	4779-4890	4891-5045	5046-5199	5200-5391	5392-5564	5565-5706	5707-5977	5978-6099	6100-6288	6289-6373	6374-6669	6670-6739	6740-6966	6967-7149	7150-7347	7348-7598	7599-7821	7822-7967	7968-8107	8108-8278	8279-8412	8413-8581	8582-8719	8720-8789	8790-8967	8968-9074	9075-9204	9205-9335	9336-9420	9421-9563	9564-9658	9659-9796	9797-9917
Strongylocentrotus_purpuratus	92	0	95	0	94	92	97	98	0	77	83	85	99	93	91	97	96	83	0	64	76	84	0	100	60	95	96	96	99	76	100	96	52	97	97	90	91	94	87	66	97	98	95	0	97	99	83	99	0	98	100	0	98	0	90	0	94	90	68	91	89	52	98	97	100
Asterina_pectinifera	0	76	0	90	94	62	97	71	100	0	0	93	100	93	91	60	0	77	100	94	97	91	75	100	86	95	96	96	100	0	100	96	87	99	0	88	0	94	95	97	97	96	0	99	97	99	95	84	94	98	0	93	98	97	86	99	0	73	97	91	0	97	65	97	100
Saccoglossus_kowalevskii	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	90	0	97	99	95	0	91	0	100	93	98	97	90	73	95	90	97	91	95	97	98	97	100
Ptychodera_flava	0	0	0	0	0	0	97	98	100	0	0	91	0	0	91	0	0	0	0	0	97	0	95	0	81	0	0	96	98	92	0	0	0	0	0	0	0	0	0	0	97	98	49	99	97	99	95	99	94	98	100	93	98	97	90	99	94	90	97	91	95	97	98	97	0
Priapulus_caudatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	72	97	0	0	96	0	86	0	0	90	97	91	96	0	98	0	0
Echinoderes_horni	0	0	0	0	48	0	0	0	0	90	0	0	0	93	95	0	0	0	0	0	0	0	0	46	98	0	0	98	99	0	99	0	0	0	0	91	83	94	0	0	97	0	0	0	95	99	72	91	0	0	100	89	76	97	90	83	89	72	97	89	96	97	98	98	0
Hypsibius_dujardini	0	0	0	90	81	0	0	0	100	0	0	97	94	0	95	57	0	75	100	99	99	0	95	0	0	95	85	0	0	0	96	0	0	0	0	0	0	94	0	0	97	0	0	0	82	99	94	99	92	98	100	92	0	97	97	99	95	51	83	94	96	97	98	98	100
Richtersius_coronifer	0	0	77	0	0	48	0	0	100	0	99	0	0	0	0	0	96	0	0	0	99	91	96	0	0	0	94	0	0	0	100	95	0	0	93	0	0	86	93	0	78	0	85	0	97	99	0	99	0	0	100	0	98	0	97	99	0	0	0	96	96	97	98	98	0
Spinochordodes_tellinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	97	0	96	0	0	97	0
Xiphinema_index	96	0	0	0	0	75	0	0	0	89	74	98	100	0	0	0	89	0	0	94	0	0	0	91	80	0	0	64	0	0	0	0	86	0	0	71	0	34	0	0	97	0	78	0	97	0	95	82	94	98	100	95	0	97	90	0	95	90	97	0	93	97	98	98	0
Trichinella_spiralis	93	0	32	77	0	0	0	0	0	93	75	0	0	87	0	0	96	64	100	38	0	71	0	0	72	0	0	0	97	0	70	54	81	95	82	0	42	94	59	0	92	64	48	99	70	77	87	84	88	0	100	0	62	30	83	0	92	90	0	0	96	97	98	92	100
Euperipatoides_kanangrensis	0	0	0	0	0	0	0	0	100	90	95	0	0	0	95	86	0	0	100	0	0	91	0	91	98	95	95	0	0	0	0	0	0	0	0	90	0	0	0	98	97	0	0	0	0	96	95	0	94	98	100	93	98	97	90	99	85	66	0	0	80	97	93	94	100
Drosophila_melanogaster	96	93	96	91	93	0	97	98	100	90	96	97	100	93	93	98	97	86	100	94	99	91	96	100	98	94	95	96	98	93	100	96	86	97	97	91	99	93	95	98	97	99	95	99	97	99	95	99	94	98	100	93	98	97	86	99	95	90	97	92	0	97	98	0	100
Daphnia_magna	0	0	0	0	88	49	0	0	100	0	98	0	0	0	95	0	0	0	0	0	97	0	0	0	0	95	0	0	0	92	100	0	67	0	62	73	0	0	0	98	97	0	95	0	96	96	95	99	94	0	85	93	98	0	90	0	94	0	97	90	96	97	0	97	100
Carcinus_maenas	96	83	0	92	91	0	0	86	0	0	96	0	100	40	0	74	97	87	0	0	0	0	0	0	98	0	0	0	0	92	0	73	86	0	97	91	0	0	0	98	98	0	79	99	28	0	95	49	89	98	19	0	0	97	0	0	0	0	0	0	0	0	0	0	82
Fenneropenaeus_chinensis	0	0	0	0	0	50	97	82	0	0	0	0	0	0	95	0	0	0	100	0	0	0	0	0	0	95	0	0	96	0	0	91	0	95	88	0	0	64	71	98	84	80	0	0	97	0	0	88	79	95	75	93	95	97	85	82	38	0	97	79	86	97	98	92	100
Scutigera_coleoptrata	0	0	0	0	0	0	93	18	0	0	0	0	0	0	95	93	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	94	0	0	97	0	0	0	97	0	95	99	94	98	100	93	98	97	90	83	95	90	97	91	96	97	95	97	0
