Species	1-467	468-1823	1824-2289	2290-3179	3180-3371	3372-3914	3915-6858	6859-7002	7003-7238	7239-7377	7378-7866	7867-8106	8107-8469	8470-8640	8641-8923	8924-9066	9067-9228	9229-9819	9820-10584	10585-10916	10917-11200	11201-11396	11397-11615	11616-12722	12723-13184	13185-13559	13560-14000	14001-14602	14603-14744
Cyanidioschyzon	0	98	99	100	92	98	13	100	99	0	100	91	100	0	0	0	99	98	100	99	0	98	100	94	100	100	98	100	100
Volvox	96	99	99	100	92	98	12	0	0	98	100	0	100	0	89	98	99	97	100	0	0	0	100	90	100	97	0	67	100
Chlamydomonas	96	85	99	98	0	98	12	0	0	98	100	0	100	0	89	98	99	58	100	0	0	97	100	60	99	100	0	65	100
Physcomitrella	97	8	99	66	92	98	12	0	94	0	99	0	100	0	0	98	98	99	100	100	0	98	0	95	53	100	98	0	100
Oryza_sativa	97	27	99	100	92	98	12	100	83	100	99	0	100	0	0	0	99	99	100	100	0	98	100	83	100	89	98	100	100
Arabidopsis_thaliana	97	98	99	100	92	98	12	100	98	100	99	90	100	91	89	98	99	99	100	100	82	98	100	91	100	100	98	100	100
Loki3	0	91	0	0	95	0	0	96	96	97	0	89	0	92	0	98	0	0	100	98	75	98	0	96	99	79	1	0	100
Lokiarchaeum	94	11	0	67	100	98	3	91	98	98	32	96	83	86	85	98	84	95	37	100	80	98	91	97	99	79	98	100	100
Loki2	0	0	0	67	0	0	0	100	0	98	0	0	0	88	0	97	0	0	93	99	0	96	0	55	96	0	0	0	100
Korarchaeum_cryptofilum	90	92	96	67	96	100	12	92	99	100	96	93	83	86	87	98	98	95	96	92	73	98	94	98	95	77	95	98	100
Caldiarchaeum_subterraneum	94	89	99	84	91	100	12	100	87	95	95	90	80	81	86	98	99	95	95	99	74	98	93	97	96	80	98	99	99
The09	0	0	98	0	100	100	0	0	96	0	0	0	0	0	86	0	0	29	0	0	0	0	94	0	0	0	0	0	0
Cenarchaeum_symbiosum	91	90	98	66	89	100	11	100	96	98	95	90	84	82	86	98	99	94	95	72	74	98	90	97	87	72	99	99	100
Nitrosoarchaeum_limnia	92	90	99	66	86	100	11	100	96	99	95	91	88	85	87	98	99	94	95	98	73	98	90	97	96	79	98	99	100
Nitrosopumilus_maritimus	92	90	99	66	91	100	11	75	96	98	95	90	81	90	87	98	99	94	95	97	73	98	90	97	96	79	98	99	100
Crenynpffa	92	63	98	42	95	100	0	94	86	98	91	92	82	85	85	98	99	92	96	0	74	97	91	97	95	80	98	100	100
