Species	1-136	137-301	302-519	520-1015	1016-1519	1520-2018	2019-2497	2498-3020	3021-3533	3534-4039	4040-4490	4491-4991	4992-5499	5500-5911	5912-6688	6689-6807	6808-7032	7033-7241	7242-7824	7825-8393	8394-9023	9024-9140	9141-9299	9300-9736	9737-10120	10121-10483	10484-10601	10602-10724	10725-10959	10960-11342	11343-11746	11747-12131	12132-12524	12525-12935	12936-13667	13668-14022	14023-14234	14235-14469	14470-14680	14681-14898	14899-15106	15107-15327	15328-15558	15559-15740	15741-15943	15944-16139	16140-16373	16374-16574	16575-16773	16774-16955	16956-17168	17169-17337	17338-17500	17501-17676	17677-17784	17785-17988	17989-18161	18162-18316	18317-18481	18482-18661	18662-18909	18910-19065	19066-19219	19220-19306	19307-19435	19436-19552	19553-19679	19680-19798	19799-19919	19920-20054	20055-20425	20426-20530	20531-20638	20639-20767	20768-20871	20872-20975	20976-21094	21095-21175	21176-21260	21261-21323	21324-21374	21375-21477	21478-21566	21567-21863	21864-22111	22112-22251	22252-22455	22456-22622	22623-22892	22893-23123	23124-23214	23215-23349	23350-23500	23501-23634	23635-23772	23773-23909	23910-24016	24017-24168	24169-24298	24299-24512	24513-24617	24618-24746	24747-24889	24890-25007	25008-25086	25087-25186	25187-25268	25269-25326	25327-25386	25387-25441	25442-25654	25655-25907	25908-26095	26096-26308	26309-26477	26478-26662	26663-26833	26834-27244	27245-27448	27449-27815	27816-28114	28115-28404	28405-28646	28647-28790	28791-29347	29348-29821	29822-30016	30017-30257
Proterospongia_sp	100	0	0	0	53	30	0	0	0	0	36	0	44	0	28	0	64	100	0	0	0	0	0	0	0	76	0	100	42	0	0	55	49	57	35	0	0	0	100	0	0	92	0	0	100	95	0	0	0	100	100	99	99	97	0	0	99	89	100	100	0	0	0	0	100	100	0	0	95	100	0	0	100	0	0	100	0	0	0	100	0	100	95	63	0	100	98	100	99	97	0	0	100	100	100	100	100	94	0	79	96	100	100	95	0	100	100	100	100	100	100	0	100	94	0	99	100	72	100	0	35	0	0	0	47	0	0	0
Pleurobrachia_pileus	100	0	100	50	35	100	86	57	100	56	100	100	98	92	42	100	100	100	100	100	0	0	100	83	71	100	0	100	91	100	100	99	90	58	100	79	100	100	100	0	100	0	100	100	100	100	100	99	100	100	100	100	100	100	0	100	100	100	100	100	100	96	100	0	0	100	0	100	100	100	100	100	100	100	100	100	0	100	99	0	0	0	98	99	100	99	100	99	100	97	0	100	100	100	100	0	0	100	100	100	0	99	0	0	98	0	94	100	100	100	100	100	100	100	100	100	100	73	100	75	100	95	59	100	97	87	100	87
Mertensiid_sp	0	0	0	24	0	0	0	0	0	0	52	0	59	0	0	100	0	100	0	0	0	0	0	0	78	27	100	100	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	98	100	100	100	95	100	100	100	100	100	96	100	100	100	100	100	100	100	100	86	100	100	100	100	100	96	100	99	100	100	96	98	96	99	99	100	99	100	97	95	100	99	100	100	100	100	100	100	100	100	99	100	95	100	100	100	100	100	100	100	100	0	99	100	100	100	74	100	0	0	0	0	0	0	0	0	0
Mnemiopsis_leidyi	100	100	100	100	71	49	42	72	100	0	59	64	66	66	51	100	100	100	0	0	0	99	100	82	0	100	100	100	91	30	0	99	30	0	0	90	100	100	100	100	100	100	0	100	100	100	100	99	100	100	100	98	100	100	100	95	100	100	100	100	100	96	100	100	100	100	100	100	100	100	100	100	100	100	100	93	100	100	99	100	100	96	98	99	100	99	100	99	100	97	95	100	99	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	35	95	0	100	100	28	58	100	98
Trichoplax_adhaerens	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	17	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	96	99	100	100	100	100	100	100	100	100	100	92	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	94	99	100	100	100	100	100	100	100	100	100	100	100	100	100
Leucetta_chagosensis	99	91	100	66	0	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0	95	100	100	0	0	43	100	100	80	54	0	0	0	0	0	0	0	0	69	69	43	0	0	100	70	0	0	74	0	79	95	99	100	100	95	87	100	100	100	97	100	100	100	12	100	100	0	100	100	100	83	100	100	100	100	100	100	100	0	100	0	100	100	73	100	79	86	100	100	93	95	100	100	100	100	100	100	100	100	70	100	100	100	100	97	100	100	52	100	0	100	100	100	100	98	100	100	36	93	0	51	65	0	86	64	80	78	96
Sycon_raphanus	97	0	0	0	0	0	0	0	52	0	0	0	45	0	38	0	0	100	46	0	84	0	97	0	0	29	100	0	100	0	0	0	0	0	0	0	0	0	73	82	100	53	0	0	0	0	0	97	0	0	100	100	0	100	100	100	100	99	100	100	100	100	100	100	100	100	0	97	100	100	77	100	100	95	100	0	100	100	100	0	100	100	70	85	100	100	100	100	100	97	100	100	0	100	100	100	99	100	100	100	100	100	100	99	100	100	0	100	100	100	100	100	100	100	94	98	100	100	100	0	88	0	89	0	0	0	0	0
Oscarella_OTU	99	0	75	0	53	50	73	76	0	80	0	100	78	0	100	100	100	100	100	94	100	100	0	0	58	86	0	0	0	0	29	92	94	81	69	100	46	0	0	45	0	0	0	0	0	0	100	100	0	100	100	97	100	0	0	0	100	100	99	0	100	100	100	100	0	0	0	100	0	0	100	0	0	0	100	100	100	0	0	100	0	0	0	67	100	100	100	0	100	100	52	100	100	100	0	100	0	0	0	93	0	0	0	96	0	0	100	100	0	0	100	100	0	0	25	100	100	84	100	75	0	100	0	0	0	80	0	100
Heterochone_sp	0	0	47	48	0	38	36	72	62	36	71	38	0	0	88	0	39	0	23	30	58	0	0	54	0	23	0	0	38	37	42	0	0	51	61	82	0	0	82	73	88	72	0	0	0	0	64	0	57	0	0	0	0	0	0	0	0	0	0	62	75	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	54	0	65	65	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	58	51	72	0	85	0	15	58	0	58	0	39	35	0	0
Oopsacas_minuta	0	0	64	0	0	0	0	0	50	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	100	87	0	0	82	100	0	0	0	40	0	68	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	0	0	97	100	0	0	0	0	0	0	0	0	0	0	100	0	100	0	70	100	100	0	0	0	0	0	0	0	0	100	0	0	0	0	76	0	85	0	0	0	0
Carteriospongia_foliascens	0	0	29	24	0	0	41	0	0	0	0	0	0	0	27	100	0	0	0	0	95	0	0	0	0	0	100	0	0	0	0	0	60	56	0	0	0	0	40	0	0	0	0	100	0	0	0	0	0	0	100	54	100	50	100	0	69	0	100	0	100	0	100	0	0	90	0	100	100	0	48	0	0	100	70	0	100	0	100	0	0	94	84	45	29	72	50	96	86	100	0	100	88	100	0	100	70	100	74	98	100	0	100	62	0	100	0	100	0	0	0	59	36	52	28	67	57	0	24	0	0	0	0	0	0	0	0	99
Amphimedon_queenslandica	100	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	100	100	100	100	100	100	97	97	100	100	100	100	100	100	93	100	100	95	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	61	100	100	100	100	100	100	100	100	100	100	100	100	98	88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	97	100	92	100	87	100	100	100	100	100	100
Ephydatia_OTU	0	0	78	0	0	54	0	23	51	38	0	0	0	0	25	0	0	100	0	0	99	0	0	0	94	62	100	0	86	0	58	0	0	0	70	65	0	0	0	100	0	0	0	0	0	0	83	0	0	0	100	100	100	100	0	0	100	100	0	100	100	100	100	100	100	100	0	0	100	100	88	99	100	74	100	100	100	100	99	100	0	0	100	100	100	100	56	100	100	97	0	100	100	100	100	100	0	100	100	100	100	97	100	0	0	100	0	100	99	0	100	0	100	100	100	99	100	59	100	0	0	0	0	100	0	47	0	0
Suberites_OTU	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	84	0	0	28	0	0	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	99	100	100	99	94	100	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	0	100	0	0	0	0	0	0	0	0	0
Metridium_senile	99	100	100	100	0	51	93	51	39	0	88	86	100	100	100	100	0	100	86	0	100	100	0	0	100	100	0	70	100	83	0	0	0	0	91	0	100	100	0	100	0	100	100	0	0	100	0	100	0	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	0	60	0	100	100	100	80	0	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	83	100	100	100	100	100	100	100	100	98	100	100	99	100	100	100	100	100	100	100	100	100	0	0	100	81	100	42	53	96	100
Nematostella_vectensis	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Acropora_OTU	100	100	98	95	0	28	83	48	37	60	29	87	52	61	55	100	46	100	75	72	100	100	0	68	100	100	100	100	100	38	100	100	0	93	45	42	100	92	100	100	100	0	100	0	100	94	100	0	67	0	77	100	100	100	100	48	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	99	100	100	100	100	100	100	100	83	100	48	100	77	100	0	28	18	95	100
Montastraea_faveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	99	0	100	0	80	56	100	100	82	0	100	100	100	80	98	0	100	90	62	0	0	100	100	100	100	0	100	0	100	100	0	0	100	0	0	100	0	63	70	0	0	100	0	100	100	100	100	100	100	100	0	84	100	0	81	100	0	99	100	53	100	0	100	75	0	0	0	0	0	0	30	0	0	0	0	0
Cyanea_capillata	73	0	0	0	0	0	0	0	0	0	0	22	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	58	0	0	0	98	0	0	0	0	81	100	100	100	100	36	100	100	100	0	0	100	100	0	100	86	100	100	100	100	26	100	100	100	100	100	100	100	100	100	100	100	100	0	18	78	100	99	54	0	0	100	100	0	100	0	100	100	93	0	100	100	100	100	100	0	100	100	100	99	0	94	0	0	100	56	0	0	0	0	0	0	0	0	0	0	74	20
Hydra_magnipapillata	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	91	100	100	100
Clytia_hemisphaerica	98	100	96	100	100	100	100	53	100	100	93	100	0	100	99	0	0	94	94	18	100	0	0	83	100	100	0	0	100	78	86	85	0	100	0	0	0	0	0	100	100	0	100	0	100	0	100	99	100	100	0	0	0	100	0	100	100	100	100	100	100	100	0	0	0	100	0	100	0	100	100	0	0	0	0	0	0	0	99	0	0	0	0	97	100	100	100	0	100	100	0	100	0	100	0	100	0	0	100	100	0	0	0	0	0	0	0	100	0	0	100	100	100	100	0	100	100	100	100	100	100	100	100	0	50	100	100	100
Hydractinia_echinata	0	0	89	84	64	0	63	0	65	0	32	95	0	43	100	100	45	100	37	0	100	0	0	85	54	100	100	100	100	0	27	21	0	41	53	82	100	93	0	0	35	0	0	65	20	0	0	100	65	100	0	99	77	100	100	100	100	100	100	100	75	100	100	100	100	100	81	100	100	100	58	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	0	100	0	0	0	30	0	0	0	0	74
Podocoryne_carnea	0	0	79	64	44	61	53	0	0	53	43	38	33	0	62	100	0	100	43	0	57	0	0	0	55	89	100	100	100	0	0	72	0	0	0	0	90	0	100	0	22	80	91	100	73	94	0	34	100	85	100	99	100	100	100	100	100	100	100	100	95	100	100	100	100	100	0	100	100	56	100	98	100	100	100	100	100	100	100	100	100	99	100	100	88	100	100	100	80	100	100	100	0	100	100	100	100	100	100	100	100	100	96	100	100	100	100	100	100	99	100	100	100	100	100	100	100	57	100	0	0	0	61	90	0	0	0	99
Xenoturbella_bocki	100	100	54	61	0	93	27	0	54	0	59	100	58	76	100	0	0	100	93	46	100	100	0	67	0	56	100	0	100	0	0	0	0	0	0	61	0	0	100	0	86	0	95	0	0	100	0	0	76	0	100	100	100	100	100	100	100	100	100	22	100	100	98	0	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	97	100	100	100	0	99	100	100	100	100	100	100	100	100	29	0	99	0	100	0	43	0	100
Saccoglossus_kowalevskii	100	100	100	100	73	100	100	92	100	100	100	74	100	81	100	100	100	100	100	100	99	100	100	97	100	100	100	100	100	100	100	100	100	100	91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96	93	100	82	100	98	100	100	100
Strongylocentrotus_purpuratus	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Branchiostoma_OTU	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Ciona_savignyi	100	100	100	100	100	100	100	100	100	100	100	100	100	92	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	85	100	97	93	94	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	92	100	100	100	96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	84	100	100
Molgula_tectiformis	100	100	100	100	100	100	100	100	100	87	100	96	100	100	100	0	100	100	100	98	100	100	100	87	100	100	100	100	100	100	100	100	99	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	80	100	100	100	100	100	92	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	0	0	41	93	100	100
Danio_rerio	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Petromyzon_marinus	100	100	100	100	23	99	100	100	74	100	0	0	100	83	100	100	99	100	99	83	100	0	100	100	88	0	100	100	100	100	100	92	100	100	100	76	100	83	100	100	100	100	100	50	77	90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	93	100	100	44	78	92	100	100
Daphnia_OTU	100	100	95	100	100	100	100	100	100	100	100	96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Nasonia_vitripennis	100	100	100	100	100	100	100	100	96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	93	100	100	100	100	97	100	100
Pediculus_humanus	100	100	96	98	98	100	95	96	96	100	100	100	100	100	88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	89	100	94	95	100	100	100	100	100	93	97	100	97	92	100	100	97	100	98	100	100	100	95	93	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	96	100	100	82	100	80	100	0	0	100	100	100	100	93	87	100	100	99	100	100	95	100	100	60	99	100	100	100	100	100	100	100	100	99	46	100	100	62	98	95	100	100	100	100	100	100	100	100	33	100	100	100	98	97	100	100
Euperipatoides_OTU	0	0	89	50	0	0	0	0	0	0	0	60	0	0	88	100	0	100	30	0	0	0	0	0	0	0	100	0	0	75	0	0	42	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	100	75	100	100	0	100	100	100	100	100	36	100	80	100	0	100	0	0	100	100	58	100	100	97	100	100	100	100	100	100	100	100	0	70	100	98	82	100	100	100	100	100	100	100	100	100	99	100	100	100	84	100	100	98	100	99	100	100	100	100	99	100	100	0	96	100	79	0	100	0	0	61	19	0	0	0	98	100
Scutigera_coleoptrata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	100	43	0	0	100	0	100	75	0	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	48	0	0	0	0	17	100	100	100	100	100	100	100	97	0	100	100	100	100	100	100	0	100	100	100	0	100	100	100	100	100	64	100	100	100	100	100	100	86	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	0	100	100	61	0	0	0	0	0	0	0	0	0	0
