Species	1-237	238-740	741-1217	1218-1862	1863-2468	2469-3047	3048-3921	3922-4034	4035-4277	4278-4897	4898-5226	5227-5885	5886-6378	6379-6674	6675-7124	7125-7577	7578-7694	7695-8128	8129-8361	8362-8559	8560-8749	8750-9363	9364-9785	9786-9947	9948-10511	10512-10646	10647-11108	11109-11482	11483-11736	11737-12212	12213-12689	12690-13379	13380-14345	14346-14726	14727-15001	15002-15141	15142-15542	15543-15709	15710-15977	15978-16276	16277-16694	16695-17410	17411-17695	17696-18221	18222-18751	18752-19094	19095-19538	19539-19877	19878-20454	20455-20862	20863-21045	21046-21231	21232-21828	21829-22629	22630-23484	23485-23772	23773-24772	24773-24976	24977-25147	25148-25392	25393-25766	25767-26043	26044-26232	26233-26765	26766-27096	27097-27353	27354-27722	27723-28065	28066-28489	28490-28706	28707-29001	29002-29526	29527-30272	30273-30877	30878-31272	31273-31874	31875-32327	32328-32880	32881-33750	33751-33914	33915-34460	34461-34636	34637-35318	35319-35652	35653-35806	35807-36186	36187-36800	36801-37530	37531-37920	37921-38013	38014-38405	38406-38800	38801-39395	39396-39660	39661-39843	39844-39969	39970-40325	40326-40643	40644-41053	41054-41437	41438-41941	41942-42342	42343-42691	42692-43427	43428-43714	43715-43943	43944-44272	44273-44656	44657-44795	44796-45614	45615-45996	45997-46196	46197-46744	46745-47353	47354-47931	47932-48873	48874-49388
Pleurobrachia_bachei	0	0	0	31	94	0	19	0	0	0	0	0	99	0	0	78	0	25	0	0	0	98	0	0	97	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	97	40	54	0	0	0	0	0	0	0	38	15	0	37	0	0	0	0	0	0	84	0	0	0	0	0	0	40	0	81	100	43	53	0	69	57	0	0	0	0	0	0	43	0	0	100	0	100	0	0	0	0	94	0	0	0	100	0	0	0	66	0	0	0	0	0	0	0	0	30	47	47	0	59
Callianira_Antarctica	0	0	0	0	0	0	76	100	0	0	0	63	0	0	0	0	0	59	0	0	0	0	0	0	33	0	68	0	0	0	0	28	0	0	0	0	0	0	0	73	0	0	0	44	0	100	0	0	0	0	0	0	25	41	0	92	0	0	0	0	0	0	0	0	62	0	0	100	0	0	80	43	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	100	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	34	0	0	14	56
Cydippida_sp_Maryland_USA	0	0	0	14	100	37	0	0	0	0	0	90	0	0	100	100	0	100	0	0	0	66	0	0	87	100	63	0	98	0	0	96	0	0	0	100	0	66	0	100	0	0	0	49	87	100	0	0	87	0	0	0	78	70	100	98	13	0	0	0	0	0	0	0	74	0	0	100	0	0	89	100	75	89	0	72	0	86	44	0	0	0	14	0	0	0	0	0	0	99	100	100	93	0	0	100	0	0	0	72	0	0	0	93	0	0	0	0	100	79	0	0	97	0	0	0	67
Mertensiidae_sp_Antarctica	0	0	0	0	40	33	24	100	0	0	0	38	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	43	0	0	0	0	0	100	0	0	57	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	85	0	0	57	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	37	0	0	95	0	0	48	0
Mertensiidae_sp_Washington_USA	0	0	0	19	58	23	0	0	0	0	0	90	0	0	76	0	0	0	0	0	0	21	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	100	0	0	0	26	16	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	47	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	92	0	56	0	0	0	0	0	0	35	0	0	0	27	0	0	0	0	0	74	0	0	0	0	29	17	6
Cydippida_sp	0	0	0	17	50	0	11	0	0	0	0	70	0	0	21	0	0	52	0	0	0	57	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	98	0	0	0	0	12	0	0	0	0	0	0	100	87	0	0	0	0	0	0	0	0	64	20	0	0	22	0	0	0	0	0	64	0	0	0	0	0	0	0
Dryodora_glandiformis	0	0	0	97	51	33	20	100	0	0	0	100	0	0	0	57	0	0	0	0	0	100	0	0	72	0	0	0	0	100	0	99	0	0	0	0	0	0	0	0	0	0	100	35	0	0	0	0	0	0	0	0	77	67	11	0	19	0	0	0	0	0	0	0	34	0	0	100	0	0	0	68	0	55	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	87	31	0	0	0	0	0	0	0	100	67	0	0	13	0	0	0	0	100	79	0	0	77	19	76	47	19
Beroe_sp_Antarctica	0	0	0	0	66	0	9	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	17	0	0	0	0	46	0	0	0	0	0	23	37	26	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	34	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	66	0	0	0	31	0	0	0	11	0	0	0	0	82	30	0	0	0	0	0	0	0
Beroe_abyssicola	0	0	0	0	98	0	44	0	0	0	0	0	0	0	100	52	0	0	0	0	0	100	0	0	0	0	88	0	0	0	0	21	0	0	0	0	0	0	94	0	0	0	0	51	0	0	0	0	100	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	100	0	0	0	0	0	82	82	100	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	79	0	0	100	77	0	0	56
Beroe_ovata	0	0	0	38	0	29	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	13	0	0	0	0	0	0	34	0	0	0	0	0	22	0	0	0	0	0	0	0	0	12	16	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
